code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
hlo	8400309	Heiloo	Heiloo	Heiloo	heiloo	stoptreinstation	52.599445	4.7005553
hm	8400313	Helmond	Helmond	Helmond	helmond	knooppuntintercitystation	51.475555	5.6619444
hmbh	8400299	Helmond Brouwhuis	Brouwhuis	Brouwhuis	helmond-brouwhuis	stoptreinstation	51.470276	5.7033334
hmbv	8400242	Helmond Brandevoort	Brandevoort	Brandevrt	helmond-brandevoort	stoptreinstation	51.462223	5.607222
hmh	8400300	Helmond 't Hout	t Hout	't Hout	helmond-t-hout	stoptreinstation	51.468056	5.6313887
hmn	8400315	Hemmen-Dodewaard	Hemmen-Dodewaard	Hemmen-D	hemmen-dodewaard	stoptreinstation	51.922215	5.6737256
hn	8400337	Hoorn	Hoorn	Hoorn	hoorn	knooppuntintercitystation	52.644722	5.0555553
hnk	8400336	Hoorn Kersenboogerd	Kersenboogerd	Hoorn Kers	hoorn-kersenboogerd	stoptreinstation	52.65361	5.0855556
hno	8400310	Heino	Heino	Heino	heino	stoptreinstation	52.427223	6.2211113
hnp	8400323	Hindeloopen	Hindeloopen	Hindeloopn	hindeloopen	stoptreinstation	52.94649	5.423063
hon	8400328	Holten	Holten	Holten	holten	stoptreinstation	52.28389	6.4202776
hor	8400327	Hollandsche Rading	Holl. Rading	Hol Rading	hollandsche-rading	stoptreinstation	52.177776	5.179167
hr	8400305	Heerenveen	Heerenveen	Heerenveen	heerenveen	intercitystation	52.961388	5.9141665
hrl	8400307	Heerlen	Heerlen	Heerlen	heerlen	knooppuntintercitystation	50.890835	5975
hrlw	8400404	Heerlen Woonboulevard	Hrl Woonblvd	Heerlen W	heerlen-woonboulevard	stoptreinstation	50.896667	5.952222
hrlk	8400409	Heerlen De Kissel	Hrl De Kissel	De Kissel	heerlen-de-kissel	stoptreinstation	50.890167	5.9933424
hrn	8400297	Haren	Haren	Haren	haren	stoptreinstation	53.17611	6.6172223
hrt	8400339	Horst-Sevenum	Horst-Sevenum	Horst-Sev	horst-sevenum	stoptreinstation	51.426388	6.042222
ht	8400319	's-Hertogenbosch	's-Hertogenbosch	H'bosch	s-hertogenbosch	knooppuntintercitystation	51.69048	5.29362
htn	8400340	Houten	Houten	Houten	houten	stoptreinstation	52035	5.1675
htnc	8400335	Houten Castellum	Castellum	Houten C	houten-castellum	stoptreinstation	52.01724	5.179281
hto	8400320	's-Hertogenbosch Oost	Hertogenbosch O.	H'bosch O	s-hertogenbosch-oost	stoptreinstation	51.700554	5.318333
hvs	8400322	Hilversum	Hilversum	Hilversum	hilversum	knooppuntintercitystation	52.225834	5.1819444
hvsp	8400570	Hilversum Sportpark	Sportpark	Sportpark	hilversum-sportpark	stoptreinstation	52.21611	5.187222
hwd	8400306	Heerhugowaard	Heerhugowaard	Heerhugow	heerhugowaard	knooppuntstoptreinstation	52.669724	4.8227777
hze	8400308	Heeze	Heeze	Heeze	heeze	stoptreinstation	51385	5.5694447
ijt	8400722	IJlst	IJlst	IJlst	ijlst	stoptreinstation	53.01466	5.6160803
kbd	8400367	Krabbendijke	Krabbendijke	Krabbendke	krabbendijke	stoptreinstation	51.433334	4.1169443
kbk	8400361	Klarenbeek	Klarenbeek	Klarenbk	klarenbeek	stoptreinstation	52.178055	6.083611
kbw	8400363	Koog Bloemwijk	Koog Bloemwijk	Koog Bloem	koog-bloemwijk	stoptreinstation	52.45861	4.8055553
klp	8400637	Veenendaal-De Klomp	De Klomp	De Klomp	veenendaal-de-klomp	stoptreinstation	52.045834	5.573889
kma	8400368	Krommenie-Assendelft	Krommenie-Ass.	Krommenie	krommenie-assendelft	stoptreinstation	52.49454	4.761243
kmr	8400362	Klimmen-Ransdaal	Klimmen-Ransdaal	Klimmen-R	klimmen-ransdaal	stoptreinstation	50.86639	5.8905554
kmw	8400366	Koudum-Molkwerum	Koudum-Molkwerum	Koudum-M	koudum-molkwerum	stoptreinstation	52.90282	5.4106913
